tweet,sentiment
love watching your yt videos and am really looking forward to seeing the collection vid,1
"I`m so sleepy now...g`night! HAPPY MOTHER`S DAY to your Mother, Mama, Ma, Mommy (whatever you call them. LoL) from Mie!",1
": What a let down! No MRI today, neurosurgeon didn`t order it--which means we have to come back to OkC soon & we no nothing new",0
yay that was good umm reggie perrin next.. oh who cares no1`s watching bbc1  lol,1
Sorry RB is on PS3 for me,0
happy mother`s day! everyone have a great day and make sure you go see ya mommas,1
The most painful sound in the world to me is the crying of someone I love. What`s worse is I can`t even hold them and say I`m sorry,0
"thanks.  thing is so much of it is more design-art, which I hardly ever get a go at, therefore never get much better..",1
finally a pic! cya in like 16 hrs haha,1
Not happy got a big choice to make,0
instant-messaging with two of my favourite conversation guys,1
"Thanks for the feedback. Surreal life, surreal oils",1
Awesome night ahead: BAD v Rat City! Most of my favorite skaters on one track  #fb,1
"Ppl who smoke pot, are so f . . .n stupid. An instant turn off. drugs in general. why? seriously! ! ! why?",0
"going to eat some pasta bake, my favourite food! later going to the flea market  you`re my lilime",1
is going to see wolverine and is a lil bit excited,1
nah I don`t finish til next yearrrr!!!   are u stayin in the bad news after graduation?,0
"exhausted, but forced into attending a lock-in",0
Working on your birthday isn`t so bad when you get to work with Ruby on Rails,1
dude you didn`t even say bye,0
"Thanks, I`m glad you liked it. It`s a flower made of diamonds",1
_sm I`ll have a look. Do you live in the centre of Glasgow? I was born on Bellshill & grew up in Bothwell. I miss Tunnocks pies,0
How the **** do 2833 songs fill an iPod that is supposed to hold 4000?,0
"So sorry if i`ve been typing wrongly. usually, after i`ve typed something, i wont read. i`ll just press the `enter` button",0
I agree. I missed a LOT while I was away and busy and now it`s like a whole new place,0
At t.g.i fridays  With some of my favorite people ever.. We made a reservation for 20 and we have like 50 people here. Hahah,1
"I`m not even in your situation and now I`m sad. I`m sorry, that`s really sucky.",0
cool  you are here too  hi sam  how are you???,1
thank you for reading Ohlala,1
sorry about it,0
yeh. merch shopping to look fab.,1
So hyped about E3. I wish I could go...,1
"Yeah, mine said 'That`s a nice picture' & gave me the red x!  Hope you get it working soon!",1
_juansimon God I`m bored. Wish we could`ve done something 2night!,0
Happy mom`s day to you too,1
is sad his new SB6 CD`s got nicked,0
Am happy to provide backup support for all murderous rampages,1
"Walking the puppies downtown. Also, mystery of missing cat solved: he hid himself in the basement for nearly two days.",0
"Apparently Paige is partying with Rose Jenn and Adam again, without me   My child has such a wild imagination.  ;)",1
URGHHHHHHHHHH your makeing me cry,0
best show of my life. mcfly rocks my world  i wanna meet you guys ;;,1
"Ten hours ago, I was was sleeping, sorry.",0
I miss my wacom. Especially the mouse. Laptop touch pad is horrible,0
just reached for her plate to get another bit of toast and realised id eaten it all  not a nice feeling,0
I never was good at platform games...,0
http://twitpic.com/4w8ja - **** Felicia is freakin cute,1
Chicken beer and good company makes a good night...,1
CONGRATS !! I just KNEW a princess would win!!!   #sigjeans,1
I am sooooooo bored in textiles !,0
I guess you are not interested !!,0
wish u was in the D!,1
Dude you are awesome,1
Chem final right now. Awwh mrs. Oli! Imma miss you!,0
**** EM,0
hey Sherri -- don`t give up b/c they`re married; they may have a brother or a friend!,1
I considered being a nurse when I was younger but I really don`t think I could cope if a baby died,0
Signing off to spend time with my hubby   Goodnight / day tweeple!   Have a very Happy Mother`s Day!,1
ok  i kinda thought so... i mean those 2? ... it would be funny though.,1
Morning world. Hello Bank Holiday! Cold and grey and rainy here. Feel like colouring thanks to  so might do that this am,1
i`m yours - jason mraz....looking for an electric guitar  yay!!!1,1
"My guitar ain`t here yet?, feel like i lost a limb!.",0
I wish I was able to talk to you.,1
it`s the non-www fail  http://www.mymunchies.net/ that works,0
Well tell me what fashion tips you need and I`m your woman  hehehe,1
just woke up...dont want to go into work at 4,0
Would be nice if he did,1
Glad to see  and more Red Bull Air Racers here keeping us in the loop,1
That`s love.,1
Happy mothers day in 25 minutes everyone,1
"Working from home today, my back is killing me  Doctor and then physio after later today.",0
"for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",0
long weekend. thank god i can sleep in on monday,1
had a wonderful evening with those I love!,1
I`m sorry. This is all so sad.,0
Yucky! We had our last soccer game of the season today...tryouts start Friday,0
"you work really hard so, sometimes you need a break, haha.  so, yeah...just let me know if you need help in anythin`.",1
can`t tell you how thrilled I am to have just had a nosebleed.  first time in ages.  overjoyed doesn`t cover it.  urgh,0
"6:29 pm - ok, let`s go now through #bowman #strategicClock but first.. a break :-0 aargh.. tired",0
"sup guys, just downloaded tweetdeck, gettin a move on right now : D tweet me some nice clothes sits or summat  x",1
Caan`t Iht Be Earlier? ICant Wait That Long.  Ahar. (:,0
"thankyou sugaaar  btw I`ll leave this town on 7, really hope could see you next time ya ra. Skrg sempit bgt sih waktunya ya",1
"1.2 mile run and 450 meter swim, things are looking better and better... Laying off the bike today",1
I don`t think they sale Ciroc where I stay..****..thats just my luck,0
I made this huge revelation as I was doing the dishes( that everyone left for me) and now I totally forgot it. I hate when that happens.,0
can`t! need to work on overtime project at lunchtime.    Sorry!,0
35 hours in the sun=rash,0
So you wouldn`t reply to my gorgeous hot pink shoe then?,1
"Thank you, Judy! Same back at you!",1
Happy Star Wars Day // Will Week,1
"'arrest her' or, anything ending in -est that can be done to her.",0
hope you had a FAB time!!! Just saw your twitpics ... Love that you wore THE dress. Great pic of D too,1
"yea, I was just about to say something  It`s great to hear! Ukrainian!",1
I lost count   sorry I let u down...,0
Woke up late & trying to get **** done before work,0
I decided you should help me make my first solo album,1
mothers day...love you madre   chels tonight. cant wait for her to see her present!,1
I want to go to the pub. Boooo.,0
Welcome to my network buddies,1
Last week I had 516 hits on my guinea pig pictures on webshots! And I didn`t even promote them! Way to go,1
"oh man, just seen the BGT news.. not cool. i loved greg.  that dancing weepy kid was just **** obnoxious imo.",1
"I did my best, it is Sunday after all",1
"sorry again, I don`t have a twitter ap on my phone, so I only text to it, I can only reply on the internet for now.",0
The Veronicas are gonna rock the stage tomorrow  HAPPY MOTHER`S DAY EVERYONE!,1
{cont} that right their is why fake btches shouldnt mess with Real ones... ahhh I love it Real btches excite me,1
Happy mother`s day everyone! still playing pet society!,1
- me and my mom`s cars were broken into.  I feel violated.,0
I just heard that Regina girls song @ les deux! And I think u should/have 2 come back 2 mc! I miss u,0
"missed all the awesome weather, because she was in a movie!",0
That`s the one. I wish I have a video compilation of `s thrusting,1
"I have the worst stuffy nose EVER. Lauren`s spending the night, and I took too much Sudafed!",0
guessing... Ran 4 miles & gym? Superman you  oxox,1
had the BEST Italian meal EVER last night! twas godly! i thinks we may get our kitty cat today,1
_bum lol *30 minutes slow* in a sec  i was just having fun tearing down old posters and putting up new ones,1
your lisa rogers carpool is now my alltime fave!! Good work!!,1
i have started saving my Tumblr drafts because that happened to me this week and i was so sad,0
_nl they`re bees that will be trapped into my honeypot,0
waking up at 6 am? yuuup. still going out tonight? you better believe it.,1
sad ending to the softball season.,0
Went to get my car inspection sticker got gigantic red R one. Just keep piling it on. I can take it. Don`t worry about me. I`ll be ok.,1
I want to go with you !  But I`m tierd....,0
mmm...reconsituted meat products and week-old veggies...gotta love that rehydrated warm milk for breakfast,1
aaawww im soooOOooo tired today.. i dont feel good.. i dont wanna go to work wah..  but yeah im goin to work in a few mins. til closing..,0
Cool show last night had me in fits,1
Jesus Christ meadowhall could do with better air con! Too hot,0
feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,0
So sad. Your mom must be very shaken up. Peace and strength to her and the dear family that lost their little girl,0
*hug*,1
"thank you, you are my first follower",1
http://twitpic.com/2zemt - aww *-* she has very cute smile,1
our love goes out to you Kanoa  sorry for your loss dear,1
You needed to watch the White House Correspondent`s Dinner. That would have cheered you up!,1
"_Beez - I`m 20% hetero-challenged, but still didn`t care for 'Milk'... I thought it was boring.",0
"i want to go out tonight, but i ain`t go no money and no one to go with   any takers???",0
Just discovered your `Band from TV`... you guys are really good! Love the music,1
I just saw a load of ambulances & police cars & a car smashed up with a roof lying in the road.  :'(  that`s 1 man dead 4 sure.    .,0
_north27 http://twitpic.com/4jcjr - Mmm yummy... looks like an invitation to me,1
Good morning twitterland. Happy Monday,1
"You can get into Canada, but I can`t?  WTF!!!   (Seriously, I`m not allowed to cross the border!)",0
Not feeling all that well today,0
bored. tired got headache,0
Thank you!  The best to you and yours tomorrow... I hope you all have a lovely day together!!,1
"Lmao dimples naww thats cute , ok ill try to remember first of winter is dimple day",1
hmz... second most popular page on this governmental site is the 404 page... fail,0
Trying to find a foreign place in a foreign town  i have being lost,0
"so sorry, I just found the members preview has been sold out for awhile. It opens at Noon to the general public",0
just come in from the garden. It is very warm out there but beautiful. Didnt do much revision though,1
tis very useful indeed esp. for newbies like me!,1
I KnO they`re my guilty pleasure like shopping,0
i`m hungry but can`t eat anything right now because my tongue hurts so bad.,0
had a funny time at neball against PLC  score: 48-3. what a game.,1
"_city Hey, u like FOB 2! Follow me, luv 2 talk more, looking 4 frineds + followers!  ~Ellen~",1
l`m on 3 days too matt. No fun this weekend.,0
_Cullen10 I wish you were here with me right now,0
"thanks lovely, will let you know when its up and ready! The baby havs are gorgeous, I want something to put in them  x",1
happy mother`s day mothers.,1
"In math class now, about to shoot myself because its so boring.",0
congrads on engagement/bridal shower! sounds like fun for upcoming 'jump out of the audience'  wd love to join in!,1
Hey im a fan from New Zealand. Loving the show even tho we are soooo behind in the episodes! haha. Keep up the good work,1
copy & paste **** **** tosser piss flap a 10000000000 times !!!!,0
"Well, she`s getting through.",1
"Not smoking sucks sucks **** SUCKS, I want a cig",0
Oh no! Hope it`s not as bad as it sounds!,1
ugh headache   i just wanna go home,0
heard through the grapevine that we might see you around today. Looking forward to meeting you.,1
liking my fake tan orange colour,1
"Just booked my tickets for London on thursday, i`m so exicted",1
Really?? I feel special,1
_Guy Would luv to hear music too but iï¿½m out of batteries - the tv plays besides but i think this is some kind of vampire movie,1
"Oh, as usual, I should warn my new followers that I tend to over-tweet during #canucks games. Apologies in advance.",0
"we went, we bought, we conquered! and we came back with the most delicious custard croissant",1
"congrats, dreps! and good luck sa interview!",1
So sorry to hear about your mum.,0
Am listening to Darren Hayes`s Spin. Am talkin to my wacky friend who`s going insane. I ain`t at all tired and I`m messed up bout things.,0
Our Quinn puppy got a sick.,0
A little irked at the moment,0
hehe yeah! Its funny that updating people on the random things you do is so amusing.,1
is a failure,0
_11 thanks. enjoy the movie! i hope all is well with you te.,1
i can`t i can`t i can`t  i`m sad.... i`m from venezuela!,0
ooo enjoy  and thanks for looking out for ours,1
yeah.. gives me something useless to crib abt,0
"bored bored bored! wish i had something to do tomorrow, especially with the weather we`re to have!  not fair",0
About to Enjoy the Silence,1
Ciara was great at SNL..Kim...you were mentioned on SNL tonight..Justin T was really good also,1
Ugh going to town. I can never rest!  wants to go to tylers but who knows when i will get back. (exausted),0
compliment taken. Thanks. Key is to be yourself,1
Laying in bed texting. Good night ya`ll,1
Searching apartments in Kaohsiung. Will go seeing the apartments on next Tuesday. Haven`t found a good one with reasonable rent...,0
"Pepsi throwback, you taste so good in my belly.",1
I could but won`t get here in time before my Vegas trip  So I`ll still look like a noob there~,0
i guess it`s easier said than done for some people.....myself being one of them unfortunately,0
"riding daddy`s bike (yes a man`s bike, very convenient! NOT) in the dark without glasses on. i was scared  but i survived HAHA",0
You know that `rule` that says always point the knife away from you? Just  learned my lesson on that one! Straight through my finger!,0
"i`m thinking that tonight`s plans are not gonna happen. sigh...sadface. i shouldn`t be surprised, but i am.",0
"Nightlife Commando is like, chanting. The music is cool.  & Now I`m listening to INXS. The music in this song is amazing. The bass is win",1
i think you should come tomarrow....because i was really really really looking foreword to seeing you.......please come?,1
Happy Mother`s Day to every mommy out there,0
Thanks for the follow man,1
I really wish someone would make a groupchat theme for Adium suited for IRC. yMous has way too low contrast.,1
YAY jack won. but downer i`ve just remembered its friday meaning i have work tomorrow,1
ooo my goddddd; vodafone trouble. no network,0
Good luck on Monday!  Keep on rockin`,1
"ok, 1st ginormous cup of coffee down, monday looking much better to me.",1
ohh i would def give it 2 u but tht was kenyatta`s cam not mine  sry but i want tht pic 2,0
any chance you might come back to moncton? i had to miss the show tonight,0
"I know, right?!? I have such a lead foot",1
no wonder you hate driving and country roads and stuff,0
Wide awake and grouchy as ****.,0
its too early to be up! wishes i could sleep in today,1
I need to come spend some time on your roof - I miss you &     double date in a couple of weeks?,0
"New Star Trek movie = Awesomeness. Unnecessary brief underwear scene (pun intended) but besides that, just awesomeness.  #startrek",1
"Facebook won`t load for me.  **** it, I`m bored.",0
": dougie, it`s coffee. There`s no 'I' on coffee. Hahaha and your name comes up as predicted text. Pretty awesome",1
"Fml! Ughhhhhhhhh, im not going anwhere today just sit in the bedroom I share with my mother and cry!",0
'Friends are the same soul different bodies.' Plato,1
thank you dearie -- I just followed dome of them on there too!,1
I`m going to the show in Amsterdam!  Can`t wait!,1
Thanks G! My actual birthday is on Tuesday and I will be 24.,1
Congrats on the tax refund.  Those are always nice.,1
i miss the Soulja Boy dance...,0
why im not sleeping  !!,0
"This is the best E-commerce site, I hope you`ve watched the big bang theory. http://www.pennyblossoms.com/ Please hit 'buy now'",1
my knee hurts!,0
hopes whoever stole my purse and money gets what is coming to them,1
Pissing annoying date stamp on all my pictures. Wish I`d remembered to turn it off.,0
"it is, and its shiny and if i could marry it i would.   ps. im good, you?",1
"Need to come up with another blog post today. But for now, I AM SLEEEEEPPYYYYYY!!!!!!!!",0
Just study according to the notes that you had to copy and you`ll be fine.,1
alredy had my chocolate  it is impossible to resist ;),1
I lost my voice,0
aww...thats a bummer,0
happy all my studying and all nighters payed off,1
Happy Mother`s Day !,1
"ugh my head, when will all the headaches stop. anyways, i love my life right now, i couldn`t ask for anything more. i love being happy",1
"but i didnt  krystal spent the night last night..i dnt think i posted that. but ya, we laughed a lot. SQUIRREL! & HOUSE! new inside jokes.",1
thanks so much for that!  i will most definitely pass that along to my amazing mother...,1
shouldn`t have stayed up til almost 2 reading 'rules' but i did. such a good book. totally worth the sleep deprivation.,1
"YAY!!!!   I have Mark issues, too...you`ll find I have A LOT of issues.   lmao",0
0k...enjoy Dora the Explorer..  greetings to your niece!!,1
finally got home and get to sleep! had a great time with  and friends!,1
"i incredily love reading your tweets! they`re so entertaining, keep it up.",1
says again.. happy mothers day to all your moms  http://plurk.com/p/svdsh,1
awesome night in the city,1
Heading downtown! Drinks and dancing!!,1
your sister would ! hahah thats so funny !! i thought you liked them,1
"I`m sure it was amazing  Wish I could have been there :] You`re an incredible, phenomenal, amazingly talented singer",1
"Aw ****! My iPod has a thin, gray line across the screen! Didn`t drop it - I take good care of it. How long before it dies?",0
_RachineA oh so you said you good-byes and hugs  my dad left around 4 in the morning so I woke up to an empty house i`m pretty scared.,0
My paradise fly catchers abandoned their nest....  they are starting again... but it`s gonna b tough,0
You too!   Happy Mom`s get to rule and kids have to take it day,1
Is constantly listening to the  song Fly with Me...b/c it`s the cutest song...'Peter Pan & Wendy turned out fine',1
"now, in a weird mood  muahaz",0
"Wow, it`s so early. Just had the best conversation.",1
just woke up from a delightful nap. I can`t desribe how much success is involved in an 8am nap on sat night....need rhubarb now,1
I`m sorry.,0
You`re just jealous!  Guess you`ll be walking around the office tomorrow in your Malo!,0
'I never thought I`d die alone. Another six months I`ll be unknown',0
tried to swat a fly with my Buddhist magazine... bad karma,0
"Just bad day. T_____T Gyah. No car, baby-client is teething and miserable, I forgot to pack a lunch, and I has to get a new car.",0
I luv urs! admitting niley with a kiss (: but then they change their minds  haha & demi/sterling (: not jemi but still cute,1
heyahh i thought u wern`t cumin to london till the 5th ? i love you taylorr ..****,1
haha i love surprises! i don`t work til sunday tho so i have to wait.,1
"Actually a great start to the day, hope it continues  getting my new american oversized bed in the evening!",1
Huffy is not having a good day night or life. Poor baby,0
listening to Lily Allen`s last album - it`s quite good,1
"In cafe management, the end of the month is nothing but numbers. My arty little head hurts from finding discrepencies",0
SWEEEEET - San Fran is awesome!!!!  Love it there,1
ur welcome  u finished ur speech (typed it and written notes),1
btw ian watkins has stopped following me  so i am a wee bit pissed off!,0
that little boy that drowned yesterday lived in our subdivision and went to nicoles school. so so sad.,0
Rude.,0
"Oh no, that doesn`t sound good! better get it checked out.",0
That is so sweet!! Have a good day,1
"nice song, where did it come from ?",1
Done with geology!! But I`m really missing my favorite sisters! Especially because they can`t go to banquet tonight,0
seriously getting hurt.... 4 days before nationals.. what a joke,0
thanks for the answer  I had been wondering the whole week,1
Greg Pritchard was robbed  ii am too gutted for words,0
"Yes, I would love some more cowbell!",1
workin a long day today... hopefully i can make some good tips,1
and I`m not getting another one ... There`s only 1 alfie,0
she made my sister cry too hahah. bless her.  i hope she can do it again.,1
_Polanco Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,1
funeral at 2.  today is going to be bad.,0
binstruct suffers from an update of the mib package... and the developer of that package is on holidays,0
yes we must I had so much fun at SXSW with you guys  PJ party in my room,1
I think the rain killed my phone,0
Just finnished my Double Cheeseburger. It was good  Ready to watch the Spanish F1,1
haha... sorry  she should be in the whole like two people  follows,0
Happy mothers day to all the mothers out there!,1
haha I wish! I have a BFA in photography now.,1
"Thank you. Keep it down, there`s a good lad.",1
won`t be going to the Oxford Internet Institute Summer Doctoral Programme in Brisbane: lack of funding,0
what a great project!!! Wish I could have done that with DD1. She`s too old now.,1
"Ohhh, he is very regal man-cat! But he is blocked",0
now i dont feel so good,0
heey  your awsome. god bless.,1
heyy i have a sis of 1 year with 5 months and still she don t want to walk..,0
yooo myyyyye bust how I`m sick tooo... Just shoot me.  Long night tonight.,0
"It`s a beautiful MN day, but I`m stuck inside playing Zelda.  I`ve gotta play at least 10 hrs. today.",1
Ahh I`m so confused  what can I do? I don`t wanna run away but can I really handle a real relationship? What is love anyways.. False hope!,0
watching 'Knowing' and lovin it,1
thanks   got a hold of someone there who knew their stuff..at last!,1
GOOD LUCK ON FINALS EVERYONE!!!!!!!!!!!!!!!!!,1
read twilight and new moon keen to read eclipse and breaking dawn hmm twilight was better then new moon but there still awesome,1
'i wanna go to prom one day   'i wish U can go with me 2 my prom even though im not a guy.but thatwouldmake1of myFRIENDS happy,1
Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,1
**** you is all i have to say,0
why yes jeeves. bring me that noose there  TOO MANY ASSIGNMENTS!,0
I`m starting to feel depressed with this hurricane talk... I`m on the front lines down here!,0
